Group,Sex,Age,Plan.Low Cost.Weekly,Plan.Low Cost.Monthly,Plan.Moderate Cost.Weekly,Plan.Moderate Cost.Monthly,Plan.Liberal Cost.Weekly,Plan.Liberal Cost.Monthly
Child,Child,1 year,$36.20,$156.90,$40.90,$177.00,$49.70,$215.30
Child,Child,2-3 years,$38.00,$164.90,$45.80,$198.40,$55.70,$241.50
Child,Child,4-5 years,$39.50,$171.00,$48.60,$210.60,$59.10,$256.00
Child,Child,6-8 years,$57.10,$247.40,$67.00,$290.20,$78.40,$339.90
Child,Child,9-11 years,$59.90,$259.70,$76.80,$332.60,$89.50,$387.70
Teen,Female,12-13 years,$59.50,$258.00,$70.60,$306.00,$88.30,$382.40
Teen,Female,14-18 years,$59.90,$259.50,$71.50,$309.80,$88.30,$382.80
Adult,Female,19-50 years,$61.10,$264.90,$74.40,$322.20,$94.70,$410.30
Adult,Female,51-70 years,$59.40,$257.40,$73.30,$317.70,$87.90,$380.80
Adult,Female,71+ years,$59.30,$257.00,$72.70,$315.00,$86.70,$375.60
Teen,Male,12-13 years,$70.10,$303.70,$86.90,$376.40,$101.80,$441.10
Teen,Male,14-18 years,$71.40,$309.20,$89.30,$387.00,$103.90,$450.00
Adult,Male,19-50 years,$70.40,$304.90,$88.30,$382.80,$107.50,$465.70
Adult,Male,51-70 years,$66.00,$286.10,$83.10,$360.00,$98.90,$428.70
Adult,Male,71+ years,$65.60,$284.20,$80.40,$348.40,$98.90,$428.40
